Biochemical Content,Unit,Location Method,,%DW,std
Moisture,(% of biomass DW),Port Royal (Frozen),,8.5,1.18
Moisture,(% of biomass DW),Port Royal (Sun-dried),,8.48,0.25
Moisture,(% of biomass DW),Manchioneal (Frozen),,12.87,0.35
Moisture,(% of biomass DW),Manchioneal (Sun-dried),,9.54,0.18
Moisture,(% of biomass DW),Port Maria (Frozen),,13.23,0.29
Moisture,(% of biomass DW),Port Maria (Sun-dried),,11.6,1.08
Ash,(% of biomass DW),Port Royal (Frozen),,55.69,5.43
Ash,(% of biomass DW),Port Royal (Sun-dried),,45.65,1.79
Ash,(% of biomass DW),Manchioneal (Frozen),,35.61,0.54
Ash,(% of biomass DW),Manchioneal (Sun-dried),,41.29,1.5
Ash,(% of biomass DW),Port Maria (Frozen),,33.74,1.34
Ash,(% of biomass DW),Port Maria (Sun-dried),,35.32,0.72
Fucoxanthin,(% of biomass DW),Port Royal (Frozen),,0.027226,0.004536
Fucoxanthin,(% of biomass DW),Port Royal (Sun-dried),,0.010715,0.001072
Fucoxanthin,(% of biomass DW),Manchioneal (Frozen),,0.050381,0.004249
Fucoxanthin,(% of biomass DW),Manchioneal (Sun-dried),,0.013632,0.001648
Fucoxanthin,(% of biomass DW),Port Maria (Frozen),,0.026168,0.001819
Fucoxanthin,(% of biomass DW),Port Maria (Sun-dried),,0.005774,0.002267
Total phenolics,(% of biomass DW),Port Royal (Frozen),,0.098,0.005
Total phenolics,(% of biomass DW),Port Royal (Sun-dried),,0.766,0.06
Total phenolics,(% of biomass DW),Manchioneal (Frozen),,0.146,0.003
Total phenolics,(% of biomass DW),Manchioneal (Sun-dried),,0.878,0.203
Total phenolics,(% of biomass DW),Port Maria (Frozen),,0.145,0.014
Total phenolics,(% of biomass DW),Port Maria (Sun-dried),,1.05,0.621
Phlorotannins,(% of biomass DW),Port Royal (Frozen),,0.035,0.007
Phlorotannins,(% of biomass DW),Port Royal (Sun-dried),,0.284,0.013
Phlorotannins,(% of biomass DW),Manchioneal (Frozen),,0.046,0.015
Phlorotannins,(% of biomass DW),Manchioneal (Sun-dried),,0.32,0.051
Phlorotannins,(% of biomass DW),Port Maria (Frozen),,0.029,0.01
Phlorotannins,(% of biomass DW),Port Maria (Sun-dried),,0.356,0.231
Proteins,(% of biomass DW),Port Royal (Frozen),,2.327,0.095
Proteins,(% of biomass DW),Port Royal (Sun-dried),,2.621,0.163
Proteins,(% of biomass DW),Manchioneal (Frozen),,3.427,0.155
Proteins,(% of biomass DW),Manchioneal (Sun-dried),,3.491,0.151
Proteins,(% of biomass DW),Port Maria (Frozen),,2.937,0.135
Proteins,(% of biomass DW),Port Maria (Sun-dried),,3.18,0.317
Alginate,(% of biomass DW),Port Royal (Frozen),,5.95,1.27
Alginate,(% of biomass DW),Port Royal (Sun-dried),,5.12,0.42
Alginate,(% of biomass DW),Manchioneal (Frozen),,13.79,0.45
Alginate,(% of biomass DW),Manchioneal (Sun-dried),,5.6,0.21
Alginate,(% of biomass DW),Port Maria (Frozen),,16.34,0.89
Alginate,(% of biomass DW),Port Maria (Sun-dried),,6.82,0.52
