Months,Samples,Moisture (% biomass DW),Ash (% biomass DW),Proteins (% biomass DW),Phenolics (% biomass DW),Phlorotannins (% biomass DW), fucoxanthin (% biomass DW,Total sugars (%dw),Total
May,Frozen,8.76,34.77,3.57,0.0262,0.0212,0.09046,17.4355721,64.68
May,Frozen,8.44,38.00,3.46,0.0254,0.0221,0.08997,18.72485531,68.76
May,Frozen,8.65,37.69,3.45,0.0295,0.0227,0.08951,18.68355759,68.61
May,Shade-dried,9.73,37.62,3.28,0.0470,0.0086,0.00240,13.46016524,64.16
May,Shade-dried,13.44,41.13,3.42,0.0466,0.0159,0.00389,11.3644698,69.41
May,Shade-dried,12.68,40.62,3.50,0.0354,0.0091,0.00349,14.79756322,71.64
June,Frozen,8.91,38.97,2.70,0.0278,0.0241,0.07377,16.84868845,67.56
June,Frozen,8.67,39.19,2.79,0.0239,0.0299,0.06973,18.4280325,69.20
June,Frozen,8.43,36.77,2.92,0.0208,0.0235,0.07944,17.16993181,65.42
June,Shade-dried,10.61,39.59,2.95,0.0379,0.0080,0.00805,17.07685191,70.29
June,Shade-dried,10.43,38.76,3.00,0.0190,0.0105,0.00329,16.71432956,68.94
June,Shade-dried,10.56,37.94,2.75,0.0525,0.0169,0.00325,21.20081258,72.52
July,Frozen,8.68,38.05,3.38,0.0345,0.0266,0.07741,15.29058461,65.54
July,Frozen,8.68,36.30,3.75,0.0295,0.0227,0.07855,15.99280342,64.85
July,Frozen,10.55,37.18,3.70,0.0159,0.0233,0.07663,13.89439732,65.44
July,Shade-dried,13.53,38.99,3.28,0.0341,0.0124,0.00456,10.5145519,66.37
July,Shade-dried,14.75,34.40,3.51,0.0264,0.0134,0.00441,7.565944411,60.27
July,Shade-dried,13.19,38.87,2.86,0.0444,0.0120,0.00473,15.75336059,70.73
August,Frozen,8.79,36.23,3.37,0.0251,0.0287,0.11077,14.50637353,63.06
August,Frozen,9.34,35.77,3.47,0.0235,0.0206,0.10706,15.70349644,64.43
August,Frozen,7.65,36.08,3.52,0.0267,0.0277,0.12115,15.81550734,63.24
August,Shade-dried,12.02,39.01,3.48,0.0191,0.0199,0.00488,13.13279488,67.70
August,Shade-dried,12.00,37.76,2.88,0.0225,0.0205,0.00437,15.79642849,68.48
August,Shade-dried,13.17,34.45,3.06,0.0084,0.0181,0.00448,15.43219803,66.15
September,Frozen,8.17,37.65,2.96,0.0374,0.0230,0.08872,13.25743587,62.19
September,Frozen,8.98,35.66,3.23,0.0152,0.0274,0.09978,15.71625316,63.73
September,Frozen,8.17,36.68,3.55,0.0193,0.0312,0.09204,16.44173736,64.98
September,Shade-dried,13.27,29.13,2.87,0.0444,0.0227,0.00358,22.35084141,67.69
September,Shade-dried,8.91,37.77,4.11,0.0140,0.0204,0.00829,19.37251698,70.21
September,Shade-dried,9.06,33.04,3.17,0.0230,0.0209,0.00443,19.84055794,65.16
October,Frozen,8.78,38.46,3.93,0.0163,0.0399,0.09857,12.83012687,64.15
October,Frozen,8.17,38.09,3.19,0.0249,0.0281,0.10818,13.52766039,63.14
October,Frozen,6.94,38.90,3.61,0.0260,0.0284,0.10556,16.20706366,65.82
October,Shade-dried,12.75,34.10,3.64,0.0268,0.0196,0.00554,16.6381651,67.18
October,Shade-dried,11.68,35.14,3.55,0.0489,0.0287,0.00353,13.6565082,64.11
October,Shade-dried,11.45,35.59,3.44,0.0260,0.0243,0.00441,14.26153356,64.79
