Compound (unit),Zone (Year),Mean,Std
Alginate (% biomass DW),Mexico (July 2020),1.36,0.3
Alginate (% biomass DW),Mexico (January 2021),6.62,0.87
Alginate (% biomass DW),Dom. Republic (Feb 2021),2.46,0.13
Alginate (% biomass DW),Jamaica (Aug 2020),6.98,0.65
Alginate (% biomass DW),Jamaica (Feb 2019),13.5,4.61
Ash (% biomass DW),Mexico (July 2020),58.6,0.43
Ash (% biomass DW),Mexico (January 2021),30.07,1.31
Ash (% biomass DW),Dom. Republic (Feb 2021),16.63,0.09
Ash (% biomass DW),Jamaica (Aug 2020),36.97,0.12
Ash (% biomass DW),Turks & Caicos (June 2019),46.94,1.31
Ash (% biomass DW),Jamaica (Feb 2019),34.12,2.46
Moisture (% biomass DW),Mexico (July 2020),11.83,0.4
Moisture (% biomass DW),Mexico (January 2021),13.6,0.14
Moisture (% biomass DW),Dom. Republic (Feb 2021),18.8,0.01
Moisture (% biomass DW),Jamaica (Aug 2020),8.5,0.08
Moisture (% biomass DW),Turks & Caicos (June 2019),-,-
Moisture (% biomass DW),Jamaica (Feb 2019),8.19,0.71
Amino acids (% biomass DW),Mexico (July 2020),4.13,0.2
Amino acids (% biomass DW),Mexico (January 2021),4.88,0.18
Amino acids (% biomass DW),Dom. Republic (Feb 2021),6.01,0.17
Amino acids (% biomass DW),Jamaica (Aug 2020),4,0.13
Amino acids (% biomass DW),Turks & Caicos (June 2019),4.14,0
Monosacharides (% biomass DW),Mexico (July 2020),5.054,0.528
Monosacharides (% biomass DW),Mexico (January 2021),13.151,1.175
Monosacharides (% biomass DW),Dom. Republic (Feb 2021),7.775,0.246
Monosacharides (% biomass DW),Jamaica (Aug 2020),13.685,0.825
Monosacharides (% biomass DW),Turks & Caicos (June 2019),19.398,5.505
